REFNumber,X_IMAGE,Y_IMAGE,MAG_ISO,ra,dec,magcal_iso,magcal_iso_rms,magcal_local,magcal_local_rms,ExposureDate,FLUX_ISO,MAG_APER,MAG_AUTO,KRON_RADIUS,BACKGROUND,FLUX_MAX,THETA_J2000,ELLIPTICITY,ISOAREA_WORLD,FWHM_IMAGE,FWHM_WORLD,plate_dist,Blendedmag,limiting_mag_local,magcal_local_error,dradRMS2,magcor_local,extinction,gsc_bin_index,series,plateNumber,NUMBER,versionId,AFLAGS,BFLAGS,ISO0,ISO1,ISO2,ISO3,ISO4,ISO5,ISO6,ISO7,npoints_local,rejectFlag,local_bin_index,seriesId,exposureNumber,solutionNumber,spatial_bin,mosaicNumber,quality,plateVersionId,magdep_bin,magcal_magdep,magcal_magdep_rms,ra_2,dec_2,RaPM,DecPM,A2FLAGS,B2FLAGS,timeAccuracy,maskIndex
420061551442725,6233.724,10288.502,-11.9522,301.5652460,44.4574290,12.779192,0.188209,12.34,0.14,2428760.631252,60380.1800000,-9.9998,-12.1801,3.50,5006.1000000,2325.0740000,85.73,0.233,0.0000640,6.35,0.0074260,2.9994,0.00,14.235762,0.151842,1.467354,0.039478,0.399,143663284,bm,632,187865,108,0,1349451776,47,43,38,31,24,18,11,6,318,0,1167,7,0,0,1,99,9999,108,1428,12.34,99.00,301.564678,44.457057,-11.6,-10.0,0,0,0.0007,0
420061551442725,15342.415,10610.836,-12.8053,301.5652330,44.4572140,12.671376,0.200963,12.35,0.13,2428818.504912,132465.3000000,-10.2822,-12.8466,3.71,4624.0390000,2901.3870000,-53.59,0.035,0.0001200,7.19,0.0083080,7.6983,0.00,14.911563,0.18007,1.392824,-0.057918,0.401,143663284,bm,657,206150,108,0,1349454848,90,83,71,61,49,41,28,15,259,0,1243,7,0,0,4,99,9999,108,1456,12.28,0.12,301.564677,44.457057,-11.6,-10.0,0,0,0.0007,0
420061551442725,6293.145,10106.213,-12.9441,301.5641220,44.4570690,12.758657,0.169098,12.32,0.11,2429166.540812,150535.0000000,-10.0223,-13.0415,3.50,5089.7680000,2496.6230000,65.44,0.440,0.0001490,11.59,0.0135440,3.0468,0.00,14.611233,0.163794,2.129787,0.058883,0.399,143663284,bm,914,231078,108,0,1349452800,108,98,84,70,61,50,38,16,314,0,1167,7,0,0,1,99,9999,108,1428,12.32,99.00,301.564673,44.457054,-11.6,-10.0,0,0,0.0007,0
420061551442725,15160.300,10689.667,-13.1721,301.5646950,44.4573040,12.616669,0.16499,12.25,0.11,2429166.583749,185718.4000000,-10.2481,-13.2540,3.50,4443.0230000,2835.5960000,21.32,0.205,0.0001520,9.54,0.0110180,7.4771,0.00,14.482429,0.148274,2.822185,-0.046453,0.411,143663284,bm,915,197414,108,0,1349451776,114,109,104,92,74,59,38,21,209,0,1243,7,0,0,4,99,9999,108,987,12.25,99.00,301.564673,44.457054,-11.6,-10.0,0,0,0.0007,0
420061551442725,6106.366,9994.612,-11.2359,301.5653750,44.4574130,12.913877,0.209453,12.45,0.17,2429446.765850,31215.1700000,-9.7464,-11.3177,5.08,4109.0560000,2000.9640000,87.11,0.347,0.0000420,5.72,0.0066850,3.2977,0.00,13.623339,0.13832,1.586559,0.059794,0.398,143663284,bm,1359,110066,108,0,1349453824,32,29,25,20,13,11,7,6,237,0,1117,7,0,0,1,99,9999,108,2256,12.38,0.14,301.564669,44.457052,-11.6,-10.0,0,0,0.0007,0
420061551442725,15552.413,10313.221,-11.0294,301.5640890,44.4565230,12.894615,0.18921,12.48,0.14,2429446.812598,25807.3400000,-9.3253,-11.3886,5.16,4273.8960000,1333.5840000,45.51,0.373,0.0000410,7.19,0.0083020,8.0196,0.00,13.287089,0.161303,1.805172,-0.008202,0.409,143663284,bm,1360,76742,108,0,1349451776,31,30,27,25,17,15,6,3,128,0,1194,7,0,0,5,99,9999,108,2176,12.48,99.00,301.564669,44.457052,-11.6,-10.0,0,0,0.0007,0
420061551442725,6275.294,10137.438,-12.2502,301.5646580,44.4573390,12.88556,0.158391,12.44,0.14,2429464.688071,79449.9300000,-10.0761,-12.5604,4.42,4888.6400000,2483.0130000,69.38,0.189,0.0001010,6.86,0.0080210,3.0062,0.00,14.770795,0.141661,1.168124,0.072636,0.401,143663284,bm,1395,224509,108,0,1349453824,75,63,50,45,35,25,18,8,523,0,1168,7,0,0,1,99,9999,108,1428,12.39,0.10,301.564669,44.457052,-11.6,-10.0,0,0,0.0007,0
420061551442725,6183.481,10207.621,-11.7584,301.5643400,44.4573940,12.835937,0.158118,12.41,0.13,2429485.709244,50510.3000000,-9.7993,-11.9966,4.63,4535.6070000,1971.6460000,32.31,0.096,0.0000830,6.50,0.0076070,3.1337,0.00,14.38476,0.164793,2.122885,0.011649,0.410,143663284,bm,1433,235715,108,128,1479477248,61,56,46,37,26,19,14,6,378,0,1167,7,0,0,1,99,9999,108,2256,12.37,0.10,301.564669,44.457052,-11.6,-10.0,0,0,0.0007,0
420061551442725,15552.373,10645.069,-10.7430,301.5647100,44.4569010,12.408181,0.298907,12.25,0.18,2429498.667503,19823.6800000,-8.7968,-11.2599,3.50,4838.0700000,854.9424000,-10.75,0.478,0.0000410,9.87,0.0113970,7.9904,0.00,12.634893,0.156744,2.79292,-0.1812,0.408,143663284,bm,1468,126721,108,8192,1349386240,31,30,25,22,16,14,6,1,57,0,1244,7,0,0,5,99,9999,108,2284,12.25,99.00,301.564668,44.457052,-11.6,-10.0,0,0,0.0007,0
420061551442725,5942.869,9935.340,-10.3034,301.5638300,44.4566770,12.797812,0.19056,12.37,0.15,2429509.600652,13223.3200000,-8.5234,-10.9215,5.34,5083.6650000,680.0800000,47.08,0.518,0.0000340,8.27,0.0096730,3.5025,0.00,12.990913,0.139901,1.947203,0.095994,0.399,143663284,bm,1484,136140,108,0,1349451776,25,25,23,21,17,13,10,6,109,0,1116,7,0,0,1,99,9999,108,2166,12.37,99.00,301.564668,44.457052,-11.6,-10.0,0,0,0.0007,0
